case_id,n_speakers_pred,n_speakers_expected,speaker_count_correct,der_strict,der_lenient_025,jer,model_id,subtype,language,elapsed_sec
v2_core111,2,2,True,5.18,0.0,0.0,pyannote_31_auto,customer_barge_in,mandarin,0.3
v2_core112,3,2,False,19.33,12.33,28.84,pyannote_31_auto,simultaneous_start,mandarin,0.13
v2_core113,2,2,True,5.89,0.0,0.0,pyannote_31_auto,simultaneous_start,mandarin,1.09
v2_core114,3,2,False,23.16,19.71,41.14,pyannote_31_auto,simultaneous_start,mandarin,0.19
v2_core115,2,2,True,7.54,0.0,0.0,pyannote_31_auto,simultaneous_start,mandarin,0.2
v2_core116,3,2,False,10.27,2.07,7.21,pyannote_31_auto,short_backchannel,mandarin,0.23
v2_core117,3,2,False,11.41,3.26,5.26,pyannote_31_auto,short_backchannel,mandarin,0.29
v2_core118,4,2,False,10.42,3.8,10.21,pyannote_31_auto,short_backchannel,mandarin,0.35
v2_core119,3,2,False,10.93,2.79,5.59,pyannote_31_auto,short_backchannel,mandarin,0.27
v2_core120,3,2,False,11.54,4.13,10.64,pyannote_31_auto,short_backchannel,mandarin,1.35
v2_core121,2,2,True,5.51,0.0,0.0,pyannote_31_auto,same_gender_similar,mandarin,0.61
v2_core122,2,2,True,11.93,8.12,17.36,pyannote_31_auto,same_gender_similar,mandarin,0.58
v2_core123,2,2,True,13.8,9.94,18.08,pyannote_31_auto,same_gender_similar,mandarin,0.42
v2_core124,2,2,True,15.26,10.42,20.15,pyannote_31_auto,same_gender_similar,mandarin,0.49
v2_core125,2,2,True,7.94,2.28,4.5,pyannote_31_auto,same_gender_similar,mandarin,0.42
v2_core126,2,2,True,23.52,17.86,35.97,pyannote_31_auto,same_gender_similar,mandarin,0.38
v2_core127,2,2,True,8.59,2.58,5.05,pyannote_31_auto,same_gender_similar,mandarin,0.46
v2_core128,2,2,True,22.38,18.09,31.71,pyannote_31_auto,same_gender_similar,mandarin,1.31
v2_core129,2,2,True,26.32,21.62,35.89,pyannote_31_auto,same_gender_similar,mandarin,1.44
v2_core130,2,2,True,16.05,9.96,19.18,pyannote_31_auto,same_gender_similar,mandarin,0.51
v2_core131,2,2,True,7.62,0.95,1.86,pyannote_31_auto,same_gender_similar,mandarin,0.42
v2_core132,2,2,True,18.05,13.37,25.93,pyannote_31_auto,same_gender_similar,mandarin,0.4
v2_core133,2,2,True,21.98,16.21,27.93,pyannote_31_auto,same_gender_similar,mandarin,0.36
v2_core134,2,2,True,17.05,12.67,25.36,pyannote_31_auto,same_gender_similar,mandarin,0.39
v2_core135,2,2,True,4.16,0.0,0.0,pyannote_31_auto,same_gender_similar,mandarin,0.43
v2_core136,2,2,True,18.48,13.25,27.59,pyannote_31_auto,same_gender_similar,mandarin,0.38
v2_core137,2,2,True,7.91,3.33,6.73,pyannote_31_auto,same_gender_similar,mandarin,0.37
v2_core138,2,2,True,17.56,13.11,27.23,pyannote_31_auto,same_gender_similar,mandarin,0.34
v2_core139,2,2,True,11.58,6.41,12.06,pyannote_31_auto,same_gender_similar,mandarin,1.26
v2_core140,2,2,True,24.09,18.28,37.37,pyannote_31_auto,same_gender_similar,mandarin,0.41
v2_rol001,2,2,True,5.77,0.0,0.0,pyannote_31_auto,agent_barge_in,mandarin,0.34
v2_rol002,2,2,True,6.82,0.0,0.0,pyannote_31_auto,agent_barge_in,mandarin,1.32
v2_rol003,3,2,False,19.78,14.25,20.51,pyannote_31_auto,agent_barge_in,mandarin,0.3
v2_rol004,2,2,True,4.41,0.0,0.0,pyannote_31_auto,agent_barge_in,mandarin,1.25
v2_rol005,2,2,True,6.59,0.07,0.16,pyannote_31_auto,clean_turn_taking,mandarin,0.32
v2_rol006,2,2,True,5.81,0.0,0.0,pyannote_31_auto,clean_turn_taking,mandarin,0.39
v2_rol007,2,2,True,6.7,0.0,0.0,pyannote_31_auto,clean_turn_taking,mandarin,0.24
v2_rol008,1,2,False,39.88,36.53,68.27,pyannote_31_auto,clean_turn_taking,mandarin,0.28
v2_rol009,2,2,True,10.12,3.67,7.83,pyannote_31_auto,clean_turn_taking,mandarin,1.33
v2_rol010,1,2,False,31.1,27.83,63.91,pyannote_31_auto,clean_turn_taking,mandarin,0.19
v2_rol011,2,2,True,5.45,0.03,0.03,pyannote_31_auto,codeswitch,codeswitch,0.54
v2_rol012,2,2,True,6.2,0.0,0.0,pyannote_31_auto,codeswitch,codeswitch,0.3
v2_rol013,2,2,True,6.14,0.0,0.0,pyannote_31_auto,customer_barge_in,mandarin,1.47
v2_rol014,2,2,True,8.25,0.18,0.15,pyannote_31_auto,customer_barge_in,mandarin,0.15
v2_rol015,3,2,False,39.93,38.01,39.19,pyannote_31_auto,customer_barge_in,codeswitch,0.3
v2_rol016,2,2,True,5.97,0.0,0.0,pyannote_31_auto,customer_barge_in,mandarin,0.23
v2_rol017,2,2,True,6.0,0.0,0.0,pyannote_31_auto,hokkien_pure,hokkien,0.45
v2_rol018,2,2,True,6.66,0.03,0.03,pyannote_31_auto,hokkien_pure,hokkien,0.42
v2_rol019,2,2,True,5.14,0.0,0.0,pyannote_31_auto,hokkien_pure,hokkien,0.27
v2_rol020,3,2,False,11.73,4.55,9.32,pyannote_31_auto,hokkien_pure,hokkien,0.24
v2_rol021,2,2,True,6.49,0.0,0.0,pyannote_31_auto,no_pii_product_inquiry,mandarin,0.35
v2_rol022,2,2,True,5.78,0.0,0.0,pyannote_31_auto,no_pii_product_inquiry,mandarin,0.31
v2_rol023,2,2,True,5.03,0.0,0.0,pyannote_31_auto,no_pii_product_inquiry,mandarin,0.3
v2_rol024,4,2,False,14.79,8.83,12.19,pyannote_31_auto,reentry_long_gap,mandarin,1.08
v2_rol025,3,2,False,14.67,6.18,10.56,pyannote_31_auto,reentry_long_gap,mandarin,1.0
v2_rol026,3,2,False,21.02,15.41,23.08,pyannote_31_auto,reentry_short_gap,mandarin,0.45
v2_rol027,4,2,False,36.65,31.93,31.31,pyannote_31_auto,reentry_short_gap,mandarin,1.34
v2_rol028,3,2,False,30.85,27.97,23.47,pyannote_31_auto,reentry_short_gap,mandarin,1.33
v2_rol029,1,2,False,47.09,42.58,71.29,pyannote_31_auto,same_gender_similar,mandarin,1.29
v2_rol030,2,2,True,33.11,28.58,48.24,pyannote_31_auto,same_gender_similar,mandarin,1.4
v2_rol031,1,2,False,50.88,48.17,74.09,pyannote_31_auto,same_gender_similar,mandarin,1.27
v2_rol032,2,2,True,13.05,0.0,0.0,pyannote_31_auto,short_backchannel,mandarin,0.1
v2_rol033,2,2,True,11.97,0.0,0.0,pyannote_31_auto,short_backchannel,mandarin,1.28
v2_rol034,1,2,False,35.31,23.22,61.61,pyannote_31_auto,short_backchannel,mandarin,0.05
v2_rol035,2,2,True,5.97,0.0,0.0,pyannote_31_auto,simultaneous_start,mandarin,0.36
v2_rol036,2,2,True,10.37,0.0,0.0,pyannote_31_auto,simultaneous_start,mandarin,0.06
v2_rol037,2,2,True,8.83,0.0,0.0,pyannote_31_auto,simultaneous_start,mandarin,0.11
v2_rol038,2,3,False,12.91,7.76,37.35,pyannote_31_auto,third_party_background,mandarin,0.37
v2_rol039,2,3,False,21.16,13.36,40.41,pyannote_31_auto,third_party_background,mandarin,0.16
v2_rol040,3,3,True,21.02,14.36,23.06,pyannote_31_auto,third_party_background,mandarin,0.28
v2_smk001,2,2,True,5.38,0.0,0.0,pyannote_31_auto,clean_turn_taking,mandarin,0.69
v2_smk002,2,2,True,6.52,0.0,0.0,pyannote_31_auto,clean_turn_taking,mandarin,0.79
v2_smk003,2,2,True,7.96,2.11,4.83,pyannote_31_auto,reentry_short_gap,mandarin,0.76
v2_smk004,3,2,False,8.56,2.63,2.18,pyannote_31_auto,reentry_short_gap,mandarin,0.76
v2_smk005,3,2,False,17.02,12.15,17.21,pyannote_31_auto,reentry_long_gap,mandarin,1.47
v2_smk006,3,2,False,11.8,6.0,6.19,pyannote_31_auto,reentry_long_gap,mandarin,2.81
v2_smk007,2,2,True,5.43,0.07,0.1,pyannote_31_auto,agent_barge_in,mandarin,0.54
v2_smk008,2,2,True,3.83,0.0,0.0,pyannote_31_auto,agent_barge_in,mandarin,1.48
v2_smk009,2,2,True,6.64,0.0,0.0,pyannote_31_auto,customer_barge_in,mandarin,0.53
v2_smk010,2,2,True,5.39,0.0,0.0,pyannote_31_auto,customer_barge_in,mandarin,0.57
