case_id,n_speakers_pred,n_speakers_expected,speaker_count_correct,der_strict,der_lenient_025,jer,model_id,subtype,language,elapsed_sec
v2_core096,2,2,True,15.83,5.22,5.77,campp_3dspeaker,agent_barge_in,mandarin,2.55
v2_core097,2,2,True,19.72,8.19,14.39,campp_3dspeaker,agent_barge_in,mandarin,1.93
v2_core098,2,2,True,21.74,9.64,11.33,campp_3dspeaker,customer_barge_in,mandarin,1.74
v2_core099,2,2,True,19.37,8.08,12.31,campp_3dspeaker,customer_barge_in,mandarin,1.65
v2_core100,2,2,True,12.69,5.23,6.78,campp_3dspeaker,customer_barge_in,mandarin,2.23
v2_core101,2,2,True,17.19,3.48,2.88,campp_3dspeaker,clean_turn_taking,mandarin,2.12
v2_core102,2,2,True,18.67,5.04,4.8,campp_3dspeaker,reentry_short_gap,mandarin,1.78
v2_core103,2,2,True,18.32,6.9,10.43,campp_3dspeaker,reentry_short_gap,mandarin,1.84
v2_core104,2,2,True,12.94,3.34,3.03,campp_3dspeaker,reentry_short_gap,mandarin,2.24
v2_core105,2,2,True,16.75,4.64,4.5,campp_3dspeaker,reentry_long_gap,mandarin,2.02
v2_core106,2,2,True,19.95,4.85,4.1,campp_3dspeaker,reentry_long_gap,mandarin,2.16
v2_core107,2,2,True,18.96,7.55,9.97,campp_3dspeaker,reentry_long_gap,mandarin,2.37
v2_core108,2,2,True,24.48,13.22,22.21,campp_3dspeaker,agent_barge_in,mandarin,2.07
v2_core109,2,2,True,20.88,7.33,7.52,campp_3dspeaker,agent_barge_in,mandarin,1.71
v2_core110,2,2,True,13.81,5.29,7.27,campp_3dspeaker,customer_barge_in,mandarin,2.63
v2_core111,2,2,True,20.64,10.25,12.05,campp_3dspeaker,customer_barge_in,mandarin,1.67
v2_core112,1,2,False,38.15,28.06,57.63,campp_3dspeaker,simultaneous_start,mandarin,0.85
v2_core113,1,2,False,59.02,49.05,68.71,campp_3dspeaker,simultaneous_start,mandarin,0.71
v2_core114,7,2,False,50.43,40.76,44.36,campp_3dspeaker,simultaneous_start,mandarin,1.75
v2_core115,2,2,True,26.94,13.32,10.96,campp_3dspeaker,simultaneous_start,mandarin,1.22
v2_core116,2,2,True,22.33,7.29,18.72,campp_3dspeaker,short_backchannel,mandarin,1.79
v2_core117,2,2,True,26.03,10.9,18.52,campp_3dspeaker,short_backchannel,mandarin,1.7
v2_core118,2,2,True,17.66,5.19,13.21,campp_3dspeaker,short_backchannel,mandarin,1.95
v2_core119,2,2,True,22.19,4.02,6.49,campp_3dspeaker,short_backchannel,mandarin,1.71
v2_core120,2,2,True,22.11,6.29,14.26,campp_3dspeaker,short_backchannel,mandarin,1.89
v2_core121,2,2,True,12.36,2.74,2.39,campp_3dspeaker,same_gender_similar,mandarin,2.84
v2_core122,2,2,True,10.75,2.56,3.22,campp_3dspeaker,same_gender_similar,mandarin,2.79
v2_core123,2,2,True,11.04,2.29,2.44,campp_3dspeaker,same_gender_similar,mandarin,2.06
v2_core124,2,2,True,12.0,3.41,4.13,campp_3dspeaker,same_gender_similar,mandarin,2.4
v2_core125,2,2,True,10.14,2.04,2.1,campp_3dspeaker,same_gender_similar,mandarin,2.19
