case_id,n_speakers_pred,n_speakers_expected,speaker_count_correct,der_strict,der_lenient_025,jer,model_id,subtype,language,elapsed_sec
v2_rol009,2,2,True,10.12,3.67,7.83,pyannote_31_fixedN,clean_turn_taking,mandarin,0.24
v2_rol010,2,2,True,50.85,47.78,73.89,pyannote_31_fixedN,clean_turn_taking,mandarin,0.18
v2_rol011,2,2,True,5.45,0.03,0.03,pyannote_31_fixedN,codeswitch,codeswitch,0.53
v2_rol012,2,2,True,6.2,0.0,0.0,pyannote_31_fixedN,codeswitch,codeswitch,0.27
v2_rol013,2,2,True,6.14,0.0,0.0,pyannote_31_fixedN,customer_barge_in,mandarin,0.49
v2_rol014,2,2,True,8.25,0.18,0.15,pyannote_31_fixedN,customer_barge_in,mandarin,0.13
v2_rol015,2,2,True,16.25,11.67,20.91,pyannote_31_fixedN,customer_barge_in,codeswitch,0.32
v2_rol016,2,2,True,5.97,0.0,0.0,pyannote_31_fixedN,customer_barge_in,mandarin,0.22
v2_rol017,2,2,True,6.0,0.0,0.0,pyannote_31_fixedN,hokkien_pure,hokkien,0.46
v2_rol018,2,2,True,6.66,0.03,0.03,pyannote_31_fixedN,hokkien_pure,hokkien,0.4
v2_rol019,2,2,True,5.14,0.0,0.0,pyannote_31_fixedN,hokkien_pure,hokkien,0.28
v2_rol020,2,2,True,11.23,4.55,9.32,pyannote_31_fixedN,hokkien_pure,hokkien,0.25
v2_rol021,2,2,True,6.49,0.0,0.0,pyannote_31_fixedN,no_pii_product_inquiry,mandarin,0.33
v2_rol022,2,2,True,5.78,0.0,0.0,pyannote_31_fixedN,no_pii_product_inquiry,mandarin,0.3
v2_rol023,2,2,True,5.03,0.0,0.0,pyannote_31_fixedN,no_pii_product_inquiry,mandarin,0.28
v2_rol024,2,2,True,6.46,0.0,0.0,pyannote_31_fixedN,reentry_long_gap,mandarin,1.11
v2_rol025,2,2,True,9.26,2.37,4.97,pyannote_31_fixedN,reentry_long_gap,mandarin,1.02
v2_rol026,2,2,True,6.59,0.0,0.0,pyannote_31_fixedN,reentry_short_gap,mandarin,0.47
v2_rol027,2,2,True,6.58,0.0,0.0,pyannote_31_fixedN,reentry_short_gap,mandarin,0.29
v2_rol028,2,2,True,4.32,0.0,0.0,pyannote_31_fixedN,reentry_short_gap,mandarin,0.32
v2_rol029,2,2,True,36.8,32.92,49.78,pyannote_31_fixedN,same_gender_similar,mandarin,0.3
v2_rol030,2,2,True,33.11,28.58,48.24,pyannote_31_fixedN,same_gender_similar,mandarin,0.39
v2_rol031,2,2,True,40.19,35.57,52.79,pyannote_31_fixedN,same_gender_similar,mandarin,0.29
v2_rol032,2,2,True,13.05,0.0,0.0,pyannote_31_fixedN,short_backchannel,mandarin,0.08
v2_rol033,2,2,True,11.97,0.0,0.0,pyannote_31_fixedN,short_backchannel,mandarin,0.07
v2_rol034,1,2,False,35.31,23.22,61.61,pyannote_31_fixedN,short_backchannel,mandarin,0.04
v2_rol035,2,2,True,5.97,0.0,0.0,pyannote_31_fixedN,simultaneous_start,mandarin,0.36
v2_rol036,2,2,True,10.37,0.0,0.0,pyannote_31_fixedN,simultaneous_start,mandarin,0.04
v2_rol037,2,2,True,8.83,0.0,0.0,pyannote_31_fixedN,simultaneous_start,mandarin,0.1
v2_rol038,3,3,True,24.39,19.57,48.43,pyannote_31_fixedN,third_party_background,mandarin,0.36
v2_rol039,3,3,True,30.18,20.92,47.21,pyannote_31_fixedN,third_party_background,mandarin,0.17
v2_rol040,3,3,True,21.02,14.36,23.06,pyannote_31_fixedN,third_party_background,mandarin,0.29
v2_smk001,2,2,True,5.38,0.0,0.0,pyannote_31_fixedN,clean_turn_taking,mandarin,0.69
v2_smk002,2,2,True,6.52,0.0,0.0,pyannote_31_fixedN,clean_turn_taking,mandarin,0.77
v2_smk003,2,2,True,7.96,2.11,4.83,pyannote_31_fixedN,reentry_short_gap,mandarin,0.78
v2_smk004,2,2,True,5.36,0.0,0.0,pyannote_31_fixedN,reentry_short_gap,mandarin,0.76
v2_smk005,2,2,True,9.72,4.95,9.55,pyannote_31_fixedN,reentry_long_gap,mandarin,1.43
v2_smk006,2,2,True,6.15,0.0,0.0,pyannote_31_fixedN,reentry_long_gap,mandarin,1.71
v2_smk007,2,2,True,5.43,0.07,0.1,pyannote_31_fixedN,agent_barge_in,mandarin,0.52
v2_smk008,2,2,True,3.83,0.0,0.0,pyannote_31_fixedN,agent_barge_in,mandarin,0.52
v2_smk009,2,2,True,6.64,0.0,0.0,pyannote_31_fixedN,customer_barge_in,mandarin,0.49
v2_smk010,2,2,True,5.39,0.0,0.0,pyannote_31_fixedN,customer_barge_in,mandarin,0.61
v2_smk011,2,2,True,6.66,0.0,0.0,pyannote_31_fixedN,simultaneous_start,mandarin,0.43
v2_smk012,2,2,True,5.42,0.0,0.0,pyannote_31_fixedN,simultaneous_start,mandarin,0.27
v2_smk013,2,2,True,7.77,1.39,4.26,pyannote_31_fixedN,short_backchannel,mandarin,0.67
v2_smk014,2,2,True,6.61,0.0,0.0,pyannote_31_fixedN,short_backchannel,mandarin,0.68
v2_smk015,2,2,True,5.49,0.0,0.0,pyannote_31_fixedN,hokkien_pure,hokkien,0.84
v2_smk016,2,2,True,5.97,0.0,0.0,pyannote_31_fixedN,hokkien_pure,hokkien,0.78
v2_smk017,2,2,True,6.29,0.0,0.0,pyannote_31_fixedN,codeswitch,codeswitch,0.67
v2_smk018,2,2,True,4.08,0.02,0.02,pyannote_31_fixedN,codeswitch,codeswitch,0.81
v2_smk019,2,2,True,4.87,0.05,0.06,pyannote_31_fixedN,same_gender_similar,mandarin,0.66
v2_smk020,2,2,True,16.61,11.56,24.47,pyannote_31_fixedN,same_gender_similar,mandarin,0.75
v2_smk021,3,3,True,5.2,0.0,0.0,pyannote_31_fixedN,third_party_background,mandarin,0.69
v2_smk022,3,3,True,34.62,29.34,53.31,pyannote_31_fixedN,third_party_background,mandarin,0.48
v2_smk023,3,3,True,17.91,12.55,17.22,pyannote_31_fixedN,impostor_unknown,mandarin,0.6
v2_smk024,3,3,True,18.65,14.13,14.29,pyannote_31_fixedN,impostor_unknown,mandarin,0.63
v2_tun001,2,2,True,5.2,0.0,0.0,pyannote_31_fixedN,clean_turn_taking,mandarin,0.63
v2_tun002,2,2,True,5.26,0.0,0.0,pyannote_31_fixedN,clean_turn_taking,mandarin,0.62
v2_tun003,2,2,True,4.16,0.0,0.0,pyannote_31_fixedN,clean_turn_taking,mandarin,0.63
v2_tun004,2,2,True,7.77,1.71,3.42,pyannote_31_fixedN,reentry_short_gap,mandarin,0.67
v2_tun005,2,2,True,5.48,0.0,0.0,pyannote_31_fixedN,reentry_short_gap,mandarin,0.49
v2_tun006,2,2,True,4.81,0.01,0.01,pyannote_31_fixedN,reentry_short_gap,mandarin,0.71
v2_tun007,2,2,True,5.6,0.0,0.0,pyannote_31_fixedN,reentry_long_gap,mandarin,1.41
v2_tun008,2,2,True,7.07,1.62,3.62,pyannote_31_fixedN,reentry_long_gap,mandarin,1.7
v2_tun009,2,2,True,8.49,1.47,3.27,pyannote_31_fixedN,reentry_long_gap,mandarin,1.54
v2_tun010,2,2,True,5.3,0.0,0.0,pyannote_31_fixedN,short_backchannel,mandarin,0.44
v2_tun011,2,2,True,6.54,0.0,0.0,pyannote_31_fixedN,short_backchannel,mandarin,0.4
v2_tun012,2,2,True,30.45,24.0,62.0,pyannote_31_fixedN,short_backchannel,mandarin,0.52
v2_tun013,2,2,True,5.7,0.0,0.0,pyannote_31_fixedN,agent_barge_in,mandarin,0.52
v2_tun014,2,2,True,6.89,1.07,2.18,pyannote_31_fixedN,agent_barge_in,mandarin,0.45
v2_tun015,2,2,True,4.86,0.0,0.0,pyannote_31_fixedN,agent_barge_in,mandarin,0.52
v2_tun016,2,2,True,5.51,0.0,0.0,pyannote_31_fixedN,customer_barge_in,mandarin,0.46
v2_tun017,2,2,True,8.88,3.65,8.77,pyannote_31_fixedN,customer_barge_in,mandarin,0.48
v2_tun018,2,2,True,11.36,7.22,17.77,pyannote_31_fixedN,customer_barge_in,mandarin,0.51
v2_tun019,2,2,True,6.77,0.0,0.0,pyannote_31_fixedN,simultaneous_start,mandarin,0.25
v2_tun020,2,2,True,15.19,8.4,19.0,pyannote_31_fixedN,simultaneous_start,mandarin,0.27
v2_tun021,2,2,True,14.08,10.15,25.04,pyannote_31_fixedN,simultaneous_start,mandarin,0.24
v2_tun022,2,2,True,5.04,0.31,0.36,pyannote_31_fixedN,hokkien_pure,hokkien,0.63
v2_tun023,2,2,True,4.88,0.05,0.04,pyannote_31_fixedN,hokkien_pure,hokkien,0.6
v2_tun024,2,2,True,6.57,0.0,0.0,pyannote_31_fixedN,codeswitch,codeswitch,0.44
v2_tun025,2,2,True,5.44,0.11,0.12,pyannote_31_fixedN,codeswitch,codeswitch,0.59
v2_tun026,2,2,True,18.31,13.76,24.73,pyannote_31_fixedN,same_gender_similar,mandarin,0.64
v2_tun027,2,2,True,22.93,19.37,40.45,pyannote_31_fixedN,same_gender_similar,mandarin,0.54
v2_tun028,3,3,True,6.21,0.0,0.0,pyannote_31_fixedN,third_party_background,mandarin,0.46
v2_tun029,3,3,True,18.45,13.09,42.55,pyannote_31_fixedN,third_party_background,mandarin,0.5
v2_tun030,3,3,True,61.02,58.04,69.49,pyannote_31_fixedN,impostor_unknown,mandarin,0.51
